"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","17/717","89/11157",0.191011235955056,2.97226270509144,4.89540663124945,4.31009518601586e-05,0.000741790066224834,0.000678153480791415,"Apoa2/Dbi/Pltp/Fabp5/Fabp4/Fabp2/Cyp4a12a/Aqp7/Ubc/Fabp1/Apoa1/Apoc3/Me1/Hmgcs1/Angptl4/Plin5/Scd1",17
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","17/717","89/11157",0.191011235955056,2.97226270509144,4.89540663124945,4.31009518601586e-05,0.000741790066224834,0.000678153480791415,"Cox5b/Cox7b/Uqcrh/Cox6a1/Cox7a1/Cox6b1/Uqcr11/Cox4i1/Cox7a2/Cox5a/Uqcrq/Uqcr10/Uqcrfs1/Cox7c/Uqcrb/Cox6c/Cox8a",17
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","17/717","90/11157",0.188888888888889,2.93923756392376,4.84061894392373,5.002200047376e-05,0.000817859707745977,0.000747697270239361,"Mgst3/Ugt1a6b/Ugt1a1/Gstm5/Gstm6/Gstm3/Gstm2/Gstm1/Ugt2b1/Gstt1/Cyp1a2/Cbr1/Cyp2c55/Cyp2c50/Cyp2c23/Gstp2/Gstp3",17
"Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism","16/717","84/11157",0.19047619047619,2.96393703925085,4.73476180187427,7.45004798677182e-05,0.00116007890079733,0.00106055820964571,"Dut/Uck1/Upp2/Ak4/Cda/Aprt/Pnp/Nt5e/Nt5m/Nt5c3b/Guk1/Nme1/Tk1/Tymp/Xdh/Gda",16
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","15/717","81/11157",0.185185185185185,2.88160545482721,4.4539278817069,0.000172693011352869,0.00256684612329037,0.00234664187675668,"Mgst3/Gstm5/Gstm6/Gstm3/Gstm2/Gstm1/Xpa/Bbc3/Bax/Gstt1/Atm/Pik3cb/Cdkn1a/Gstp2/Gstp3",15
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","13/717","73/11157",0.178082191780822,2.77107812231329,3.97845519242961,0.00068183534427655,0.00969391989471443,0.00886229921164944,"Mgst3/Gstm5/Gstm6/Gstm3/Gstm2/Gstm1/Ggct/Gstt1/Gpx4/Gpx3/Gpx6/Gstp2/Gstp3",13
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","16/717","102/11157",0.156862745098039,2.44088932644187,3.83102439971262,0.000750388643698607,0.0102240452703935,0.00934694626361423,"Aox3/Ugt1a6b/Ugt1a1/Dhrs9/Adh7/Cyp4a12a/Ugt2b1/Cyp2b13/Cyp2b9/Cyp2a4/Cyp2a5/Cyp1a2/Rdh11/Cyp2c55/Cyp2c50/Cyp2c23",16
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","11/717","57/11157",0.192982456140351,3.00293621081994,3.97289088999229,0.00086832919133874,0.0113577458227107,0.0103833890669559,"Dut/Uck1/Upp2/Nudt2/Cda/Nt5e/Nt5m/Nt5c3b/Nme1/Tk1/Tymp",11
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","8/717","34/11157",0.235294117647059,3.66133398966281,4.07278469370948,0.00113767779768583,0.0137785422164172,0.0125965105084902,"Hacd1/Acnat2/Tecr/Elovl5/Elovl7/Acot2/Acot1/Scd1",8
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","8/717","34/11157",0.235294117647059,3.66133398966281,4.07278469370948,0.00113767779768583,0.0137785422164172,0.0125965105084902,"Per2/Npas2/Cry2/Rorc/Per3/Prkag2/Bmal1/Nr1d1",8
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","18/717","134/11157",0.134328358208955,2.09023918066571,3.32726860582531,0.00227494775145993,0.0265681398116927,0.0242889158426549,"Pde6d/Gucy1a1/Ak4/Nudt2/Urad/Ppat/Pde3b/Aprt/Pnp/Nt5e/Nt5m/Guk1/Nme1/Adcy9/Xdh/Pde9a/Pde6c/Gda",18
"Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation","7/717","30/11157",0.233333333333333,3.63082287308229,3.78117496434318,0.00243201401569851,0.0274230545908074,0.025070489308834,"Hacd1/Tecr/Elovl5/Elovl7/Acot2/Acot1/Ppt2",7
"Genetic Information Processing","Replication and repair","mmu03420","Nucleotide excision repair","10/717","58/11157",0.172413793103448,2.68287404414947,3.36734228912218,0.00353784406808436,0.0385625003421195,0.0352543058012617,"Xpa/Polr2j/Uvssa/Pole4/Polr2l/Polr2i/Polr2k/Polr2f/Gtf2h5/Pold4",10
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","21/717","175/11157",0.12,1.86728033472803,3.03040996188137,0.00413568493252824,0.0436248055786044,0.0398823266838038,"Mgst3/Gstm5/Gstm6/Gstm3/Gstm2/Gstm1/Wnt4/Tcf7l1/Fzd4/Ccnd1/Bax/Gstt1/Gadd45b/Pik3cb/Tert/Sos2/Cdkn1a/Smarca2/Frat1/Gstp2/Gstp3",21
