"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","30/1348","343/28928",0.0874635568513119,1.87696273931361,3.61209044274,0.00076283800266818,0.0116699340129628,0.00945019956391456,"Prex2/Erbb4/Fn1/Igfbp5/Phlda3/Rasgrp1/Ntrk1/Txn1/Hnf1a/Klk1b4/Nox4/Cib1/Pde3b/Rras/Rcn3/Ddit3/Col6a2/Gdf15/Pik3cb/Plxnb1/C1qbp/Nherf1/Ntrk2/Itgb1bp1/Nlrc3/Trem2/Xdh/Usp49/Pdgfrb/Vegfb",30
"BP","GO:0006196","AMP catabolic process","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Urad/Pnp/Nt5e/Xdh",4
"BP","GO:0009131","pyrimidine nucleoside monophosphate catabolic process","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Upp2/Cda/Nt5m/Tymp",4
"BP","GO:0009178","pyrimidine deoxyribonucleoside monophosphate catabolic process","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Upp2/Cda/Nt5m/Tymp",4
"BP","GO:0045039","protein insertion into mitochondrial inner membrane","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Romo1/Timm10/Timm13/Ndufa13",4
"BP","GO:0046055","dGMP catabolic process","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Urad/Pnp/Xdh/Gda",4
"BP","GO:0060192","negative regulation of lipase activity","4/1348","10/28928",0.4,8.5839762611276,5.30288673675464,0.000786232963279941,0.0118082357206479,0.00956219494762479,"Apoa2/Apoc3/Angptl4/Plin5",4
"BP","GO:0031346","positive regulation of cell projection organization","38/1348","471/28928",0.0806794055201698,1.73137525436756,3.53798242950733,0.000786929037464885,0.0118082357206479,0.00956219494762479,"Hdac4/Fn1/Cdh4/Camk1d/Abl1/Gm14137/Cdkl5/Pqbp1/Ntrk1/Ptprd/Ephb2/Dynll1/Hspb1/Ppp1r35/Itpr1/Ppp1r9a/Brk1/Fzd4/Cpeb1/Gprc5b/Snx3/Lrp1/Carmil2/Gpm6a/Plxnb1/Mien1/Rnd2/Pfn1/Nme1/Ripor2/Ntrk2/Dbn1/Robo1/Kalrn/Ranbp1/Tnfrsf12a/Fxn/Vldlr",38
"BP","GO:0006692","prostanoid metabolic process","10/1348","65/28928",0.153846153846154,3.30152933120292,4.10678503335902,0.000807253582663587,0.0119499640862222,0.00967696520571331,"Mgst3/Fabp5/Gstm6/Gstm3/Gstm1/Ptgr1/Mif/Anxa1/Gstp2/Gstp3",10
"BP","GO:0006695","cholesterol biosynthetic process","10/1348","65/28928",0.153846153846154,3.30152933120292,4.10678503335902,0.000807253582663587,0.0119499640862222,0.00967696520571331,"Insig2/Nsdhl/Pmvk/Fdps/Por/Aqp8/Mvd/Ces1d/Apoa1/Hmgcs1",10
"BP","GO:0010883","regulation of lipid storage","10/1348","65/28928",0.153846153846154,3.30152933120292,4.10678503335902,0.000807253582663587,0.0119499640862222,0.00967696520571331,"Ttc39b/Acacb/Apoc4/Ces1d/Asxl2/Trem2/Alkbh7/C3/Plin5/Fxn",10
"BP","GO:1902653","secondary alcohol biosynthetic process","10/1348","65/28928",0.153846153846154,3.30152933120292,4.10678503335902,0.000807253582663587,0.0119499640862222,0.00967696520571331,"Insig2/Nsdhl/Pmvk/Fdps/Por/Aqp8/Mvd/Ces1d/Apoa1/Hmgcs1",10
"BP","GO:1905953","negative regulation of lipid localization","10/1348","65/28928",0.153846153846154,3.30152933120292,4.10678503335902,0.000807253582663587,0.0119499640862222,0.00967696520571331,"Apoa2/Cry2/Ttc39b/Fis1/Ces1d/Apoc3/Igfbp3/Atp5pf/Trem2/Fxn",10
"BP","GO:0051701","biological process involved in interaction with host","18/1348","167/28928",0.107784431137725,2.31304749551342,3.76215074436098,0.000827077756807524,0.0122105135494272,0.00988795563812051,"Apcs/Siglec1/Gsn/Gbp7/Gbp2b/Gbp9/Cd4/Ifitm2/Ifitm1/Ifitm3/Trim21/Cd81/Snx3/Bsg/Nectin1/Siva1/Lgals1/Chmp2b",18
"BP","GO:0010594","regulation of endothelial cell migration","19/1348","181/28928",0.104972375690608,2.25270095250586,3.73757523564695,0.000830889360345508,0.0122338991072856,0.00990689303643225,"Abl1/Srpx2/Efna1/Svbp/Epha2/Hspb1/Atoh8/Adamts9/Cib1/Rras/Bsg/Pik3cb/Sparc/Gpld1/Rhob/Itgb1bp1/Smoc2/Csnk2b/Anxa1",19
"BP","GO:0043153","entrainment of circadian clock by photoperiod","6/1348","25/28928",0.24,5.15038575667656,4.58972346678522,0.000834887333290554,0.0122528319047553,0.00992222463249723,"Per2/Cry2/Per3/Nr2f6/Usp2/Sik1",6
"BP","GO:0009185","ribonucleoside diphosphate metabolic process","16/1348","140/28928",0.114285714285714,2.45256464603646,3.80884459617281,0.000840371788653324,0.0122528319047553,0.00992222463249723,"Hdac4/Dhtkd1/Ogt/Gale/Ak4/Prkag2/Nupr1/Ucp2/Aldoa/Ddit4/Nudt18/Sik2/Nt5e/Guk1/Gck/Jmjd8",16
"BP","GO:0009130","pyrimidine nucleoside monophosphate biosynthetic process","5/1348","17/28928",0.294117647058824,6.31174725082912,4.8431711723915,0.000843330382373907,0.0122528319047553,0.00992222463249723,"Dut/Uck1/Upp2/Cda/Nme1",5
"BP","GO:0040015","negative regulation of multicellular organism growth","5/1348","17/28928",0.294117647058824,6.31174725082912,4.8431711723915,0.000843330382373907,0.0122528319047553,0.00992222463249723,"H19/Socs2/Gdf15/Adrb2/Fxn",5
"BP","GO:0097428","protein maturation by iron-sulfur cluster transfer","5/1348","17/28928",0.294117647058824,6.31174725082912,4.8431711723915,0.000843330382373907,0.0122528319047553,0.00992222463249723,"Bola3/Bola2/Cisd1/Ciao2b/Mms19",5
"BP","GO:0010595","positive regulation of endothelial cell migration","14/1348","114/28928",0.12280701754386,2.63543130824093,3.86796441751599,0.000856451304751518,0.0124106347379824,0.0100500118388423,"Abl1/Srpx2/Hspb1/Atoh8/Cib1/Rras/Bsg/Pik3cb/Sparc/Gpld1/Rhob/Itgb1bp1/Smoc2/Anxa1",14
"BP","GO:0032371","regulation of sterol transport","10/1348","66/28928",0.151515151515152,3.25150615951803,4.04838128933323,0.0009122778885548,0.0131502104040498,0.0106489130519244,"Apoa2/Pltp/Ttc39b/Lrp1/Ces1d/Apoa1/Apoc3/Anxa2/Abca8a/Trem2",10
"BP","GO:0032374","regulation of cholesterol transport","10/1348","66/28928",0.151515151515152,3.25150615951803,4.04838128933323,0.0009122778885548,0.0131502104040498,0.0106489130519244,"Apoa2/Pltp/Ttc39b/Lrp1/Ces1d/Apoa1/Apoc3/Anxa2/Abca8a/Trem2",10
"BP","GO:0072594","establishment of protein localization to organelle","37/1348","459/28928",0.0806100217864924,1.72988628356057,3.48477667959322,0.00092985793134539,0.0133685334003897,0.0108257089003424,"Tomm40l/Cry2/Nup35/Dnlz/Srp14/Romo1/Timm10/Dnajc19/Atp5if1/Tomm5/Sec61b/Tomm7/Fis1/Pex26/Bmal1/Pdcd5/Bbc3/Bax/Bag3/Ddit3/Timm13/Cdk1/Nutf2/Get3/Ndufa13/Rab4a/Rab11a/Vps13c/Med1/Sec61g/Tert/Tspan17/Vps28/Pam16/Cdkn1a/Neurl1b/Vps13a",37
"BP","GO:0032231","regulation of actin filament bundle assembly","14/1348","115/28928",0.121739130434783,2.61251451425623,3.83052080896867,0.000934148316939573,0.0133951502784129,0.0108472629904348,"Abl1/Rhoc/S100a10/Asap3/Wnt4/Stmn1/Epha1/Ppp1r9a/Nox4/Ccn2/Apoa1/Pfn1/Dbn1/Itgb1bp1",14
"BP","GO:0106106","cold-induced thermogenesis","17/1348","155/28928",0.109677419354839,2.35367091030918,3.73581950668602,0.000937647949518816,0.0134103191113472,0.0108595465644655,"Per2/Cebpb/Ogt/Fabp5/Fabp4/Bmal1/Ucp2/Fgf21/Ddit3/Ces1d/Acvr2b/Thra/Nr1d1/Map2k6/Acot13/Adrb2/Scd1",17
"BP","GO:0032535","regulation of cellular component size","34/1348","411/28928",0.0827250608272506,1.77527489585364,3.49964689510905,0.000945457632387986,0.0134868917326619,0.0109215543317546,"Fn1/Cdh4/Stk39/Abl1/Dnm1/Prex1/Fmn1/Gm14137/Neb/Gsn/Cdkl5/Ogt/Baiap2l1/Cdk5/Eln/Lamtor4/Tmsb10/Ppp1r9a/Brk1/Gprc5b/Akt1s1/Lrp1/Carmil2/Rab11a/Rnd2/Pfn1/Nherf1/Borcs6/Dbn1/Inf2/Tnfrsf12a/Aqp4/Svil/Fxn",34
"BP","GO:0048511","rhythmic process","31/1348","364/28928",0.0851648351648352,1.82763230834447,3.51299982784199,0.000973904801112601,0.0138566973256746,0.0112210193201547,"Per2/Npas2/Cry2/Ogt/Ciart/Rorc/Ntrk1/Nr0b2/Per3/Abcb1a/Srrd/Cdk5/Fzd4/Bmal1/Atf5/Ppp1ccb/Cdk1/Mtnr1a/Nr2f6/Ces1d/Usp2/Kmt2a/Nr1d1/Map2k6/Ntrk2/Inhba/Nampt/Tef/Ahcyl/Rogdi/Sik1",31
"BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle","18/1348","170/28928",0.105882352941176,2.27222901029848,3.67798478588291,0.00101751441005706,0.0144397652197245,0.0116931820549193,"Hacd1/Fhl1/Lsm10/Bcl7c/Ccnd1/Tjp3/Ube2e2/Rps27l/Ppp2r3d/Rpl26/Tert/Inhba/Klf11/Cdkn1a/Rpl17/Smarca2/Anxa1/Cdk2ap2",18
"BP","GO:0010866","regulation of triglyceride biosynthetic process","6/1348","26/28928",0.230769230769231,4.95229399680438,4.45729605806806,0.00104292146631498,0.0147621770438192,0.0119542680281627,"Mfsd2a/Apoc3/Gpld1/C3/Sik1/Plin5",6
"BP","GO:0006661","phosphatidylinositol biosynthetic process","12/1348","91/28928",0.131868131868132,2.82988228388822,3.86516753371195,0.00104774845012573,0.0147923765760682,0.0119787233169563,"Pgap1/Hycc2/Dpm1/Dpm2/Dpm3/Itpkc/Atm/Pik3cb/Ip6k2/Pigyl/Pigp/Pigx",12
"BP","GO:0007416","synapse assembly","27/1348","304/28928",0.0888157894736842,1.90598157113853,3.5106740316241,0.00108729813645833,0.015311388116485,0.0123990138368055,"Erbb4/Lrp4/Abl1/Srpx2/Ogt/Ntrk1/Ptprd/Ephb2/Sigmar1/Cdk5/Ppp1r9a/Lrfn3/Lin7a/Gpm6a/Large1/Lrtm1/Nedd8/Nectin1/Plxnb1/Srcin1/Ntrk2/Dock4/Robo1/Thbs2/Vldlr/Sptbn2/Lrfn4",27
"BP","GO:0046718","symbiont entry into host cell","14/1348","117/28928",0.11965811965812,2.56785614649116,3.75681224283807,0.00110742406615552,0.0155549180852331,0.0125962220474009,"Apcs/Siglec1/Gsn/Cd4/Ifitm2/Ifitm1/Ifitm3/Trim21/Cd81/Snx3/Bsg/Nectin1/Siva1/Lgals1",14
"BP","GO:0042594","response to starvation","23/1348","244/28928",0.0942622950819672,2.02286325825753,3.54725286422989,0.00112560267262857,0.0157699231583574,0.0127703310737264,"Inhbb/Atf3/Rnf152/Ugt1a1/Map1lc3a/Gpr155/Bmf/Wnt4/Mfsd2a/Jun/Prkag2/Pdk4/Ucp2/Kics2/Ddit3/Slc39a5/Higd1a/Gck/Smdt1/Pick1/Cdkn1a/Angptl4/Chka",23
"BP","GO:0032233","positive regulation of actin filament bundle assembly","10/1348","68/28928",0.147058823529412,3.15587362541456,3.93485837265873,0.00115600166620451,0.0160588802178058,0.0130043257025012,"Abl1/Rhoc/S100a10/Wnt4/Epha1/Nox4/Ccn2/Apoa1/Pfn1/Itgb1bp1",10
"BP","GO:0033344","cholesterol efflux","10/1348","68/28928",0.147058823529412,3.15587362541456,3.93485837265873,0.00115600166620451,0.0160588802178058,0.0130043257025012,"Apoa2/Pltp/Ttc39b/Lrp1/Ces1d/Apoa1/Apoc3/Abca8a/Trem2/Abcg8",10
