Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
SRR34942226	27.5449	94.40650000000001	10220.824918999999	79.685834	53.256899999999995	98.8882218504037	43.88281144245561	150.0	150.0
SRR34942227	30.3108	94.4283	10610.059775	82.52969	53.4934	98.7198217108299	42.97023233922311	150.0	150.0
SRR34942228	27.7723	93.9847	12843.547316	100.192194	51.746	99.08997655479045	42.694705710499825	150.0	150.0
SRR34942229	28.284100000000002	94.35130000000001	12916.434100999999	100.26263999999999	51.348400000000005	99.16095583105958	42.434480376943334	150.0	150.0
SRR34942230	29.461100000000002	94.5272	10438.304399999999	80.98243599999999	52.993500000000004	98.79234926653828	42.58799452147148	150.0	150.0
SRR34942231	25.089299999999998	94.12610000000001	9984.15677	78.076872	52.4803	99.00406894114127	43.81485466956917	150.0	150.0
SRR34942232	25.4599	94.22749999999999	9511.390699	73.99445399999999	51.5317	99.14226934209002	43.089712069002616	150.0	150.0
SRR34942233	26.063	94.04299999999999	9690.609584	75.78375199999999	51.937900000000006	99.12978093403048	43.888462359219595	150.0	150.0
